title,summary,url,annotation
MET Group,"MET Group is a Swiss-based European energy company with activities in natural gas, and power markets, focused on multi-commodity wholesale, trading and sales, renewable energy and industrial assets. MET was founded in 2007, starting as a MOL subsidiary (Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság, Hungarian Oil and Gas Public Limited Company). In 2022, MET Group's natural gas trading volume was 109 BCM.

",https://en.wikipedia.org/wiki/MET_Group,Not an Event
Reinbach,"The Reinbach is a stream in South Tyrol, Italy, known as the Rio di Riva in Italian. It flows into the Ahr in Sand in Taufers. It has three waterfalls, two 50 metres (160 ft) high, and one 10 metres (33 ft) high, all located in the Rieserferner-Ahrn Nature Park. The river is also a popular kayaking spot.",https://en.wikipedia.org/wiki/Reinbach,Not an Event
Purple Radio (London),"Purple Radio was an internet and British digital radio station for a gay, lesbian and gay-friendly audience. It was available on a DAB multiplex in London and also online. It was the first full-time gay and lesbian radio station and broadcast 24 hours a day, with live broadcasts from a different nightclub every night.
Purple Radio was launched in 2001 and merged with Gaydar Radio in 2003.",https://en.wikipedia.org/wiki/Purple_Radio_(London),Not an Event
Hochtief Concessions,"Hochtief Concessions GmbH is a German business, fully owned subsidiary of the Hochtief Group and is responsible for the development and implementation of concessions and operator projects. Its business areas include airports, roads, social infrastructure/public-sector building construction and further public-private partnership (PPP) projects handled together with subsidiaries AviAlliance and Hochtief PPP Solutions.

",https://en.wikipedia.org/wiki/Hochtief_Concessions,Not an Event
Sand Spring Presbyterian Church,"Sand Spring Presbyterian Church is a historic church in Water Valley, Mississippi.
It was built in 1854 and added to the National Register of Historic Places in 1993. The church is also registered by the Presbyterian Historical Society under the American Presbyterian/Reformed Historical Sites Registry as Site No. 371.",https://en.wikipedia.org/wiki/Sand_Spring_Presbyterian_Church,Not an Event
Selo Rakovica,"Selo Rakovica (Serbian: Село Раковица) is an urban neighborhood of Belgrade, the capital of Serbia. It is located in Belgrade's municipality of Voždovac and should not be confused with the neighborhood of Rakovica in the municipality of the same name.",https://en.wikipedia.org/wiki/Selo_Rakovica,Not an Event
Pilot Butte Dam,"Pilot Butte Dam (National ID # WY01381) is a dam in Fremont County, Wyoming.
The earthen dam was constructed in 1926 by the United States Bureau of Reclamation, with a height of 64 feet (19.5 km), and a length of 55 feet (16.8 km) at its crest. It provides offstream storage for flood control and irrigation water as part of the larger Riverton unit of the extensive Pick–Sloan Missouri Basin Program. The dam is owned by the Bureau, and operated by the Midvale Irrigation District.
The reservoir it creates, Pilot Butte Reservoir, has a normal water surface of 1.4 square miles (3.6 km2), and a maximum capacity of 36,900 acre-feet. Recreation includes fishing (for trout, ling, and crappie, etc.), hunting, boating, camping and hiking.",https://en.wikipedia.org/wiki/Pilot_Butte_Dam,Not an Event
Dinuguan,"Dinuguan (Tagalog pronunciation: [dɪnʊgʊˈʔan]) is a Filipino savory stew usually of pork offal (typically lungs, kidneys, intestines, ears, heart and snout) and/or meat simmered in a rich, spicy dark gravy of pig blood, garlic, chili (most often siling haba), and vinegar.",https://en.wikipedia.org/wiki/Dinuguan,Not an Event
Claassee,"Claassee is a lake in the Mecklenburgische Seenplatte district in Mecklenburg-Vorpommern, Germany. At an elevation of 62.1 m, its surface area is 0.106 km2.",https://en.wikipedia.org/wiki/Claassee,Not an Event
SHODAN,"A shofar ( shoh-FAR; from שׁוֹפָר‎, pronounced [ʃoˈfar] ) is an ancient musical horn typically made of a ram's horn, used for Jewish religious purposes. Like the modern bugle, the shofar lacks pitch-altering devices, with all pitch control done by varying the player's embouchure. The shofar is blown in synagogue services on Rosh Hashanah and at the end of Yom Kippur; it is also blown every weekday morning in the month of Elul running up to Rosh Hashanah. Shofars come in a variety of sizes and shapes, depending on the choice of animal and level of finish.",https://en.wikipedia.org/wiki/Shofar,Not an Event
