sentence,token,tag
1,The,b
1,1874,i
1,Nova,i
1,Scotia,i
1,general,i
1,election,i
1,was,O
1,held,O
1,on,O
1,17,O
1,December,O
1,1874,O
1,to,O
1,elect,O
1,members,O
1,of,O
1,the,O
1,26th,b
1,House,i
1,of,i
1,Assembly,i
1,of,i
1,the,i
1,Province,i
1,of,i
1,Nova,i
1,Scotia,i
1,",",O
1,Canada,O
1,.,O
2,It,O
2,was,O
2,won,O
2,by,O
2,the,O
2,Liberal,O
2,party,O
2,.,O
3,The,b
3,December,i
3,1981,i
3,windstorm,i
3,was,O
3,a,O
3,severe,O
3,storm,O
3,that,O
3,particularly,O
3,affected,O
3,southern,O
3,England,O
3,",",O
3,Wales,O
3,and,O
3,south,O
3,west,O
3,France,O
3,during,O
3,13,O
3,December,O
3,1981,O
3,.,O
4,The,O
4,storm,O
4,formed,O
4,as,O
4,a,O
4,secondary,O
4,low,O
4,.,O
5,In,O
5,England,O
5,",",O
5,the,O
5,storm,O
5,started,O
5,with,O
5,violent,O
5,winds,O
5,and,O
5,snow,O
5,",",O
5,which,O
5,reached,O
5,Cornwall,O
5,during,O
5,the,O
5,morning,O
5,.,O
6,Prior,O
6,to,O
6,its,O
6,arrival,O
6,a,O
6,number,O
6,of,O
6,record,O
6,low,O
6,temperatures,O
6,were,O
6,reached,O
6,for,O
6,December,O
6,",",O
6,with,O
6,-25.1C,O
6,at,O
6,RAF,O
6,Shawbury,O
6,in,O
6,Shropshire,O
6,and,O
6,-5.9C,O
6,in,O
6,Southampton,O
6,.,O
7,In,O
7,the,O
7,evening,O
7,spring,O
7,tides,O
7,combined,O
7,with,O
7,a,O
7,1.45,O
7,m,O
7,(,O
7,4.8,O
7,ft,O
7,),O
7,storm,O
7,surge,O
7,resulted,O
7,in,O
7,the,O
7,highest,O
7,water,O
7,levels,O
7,recorded,O
7,in,O
7,the,O
7,Bristol,O
7,Channel,O
7,since,O
7,the,O
7,start,O
7,of,O
7,the,b
7,20th,i
7,century,i
7,.,O
8,Water,O
8,from,O
8,melting,O
8,snow,O
8,",",O
8,caused,O
8,by,O
8,milder,O
8,weather,O
8,accompanying,O
8,the,O
8,depression,O
8,",",O
8,added,O
8,to,O
8,the,O
8,flooding,O
8,.,O
9,The,O
9,maximum,O
9,surge,O
9,at,O
9,Hinkley,O
9,Point,O
9,was,O
9,measured,O
9,at,O
9,1.3,O
9,metres,O
9,(,O
9,4,O
9,ft,O
9,3,O
9,in,O
9,),O
9,above,O
9,the,O
9,7.4,O
9,metres,O
9,(,O
9,24,O
9,ft,O
9,),O
9,tidal,O
9,level,O
9,Ordnance,O
9,Datum,O
9,(,O
9,OD,O
9,),O
9,at,O
9,2025,O
9,hours,O
9,",",O
9,and,O
9,1.3,O
9,metres,O
9,(,O
9,4,O
9,ft,O
9,3,O
9,in,O
9,),O
9,measured,O
9,at,O
9,Avonmouth,O
9,.,O
