sentence,token,tag
1,The,O
1,Bituminous,O
1,coal,O
1,strike,O
1,of,O
1,1977-1978,O
1,was,O
1,a,O
1,110-day,O
1,national,O
1,coal,O
1,strike,O
1,in,O
1,the,O
1,United,O
1,States,O
1,led,O
1,by,O
1,the,O
1,United,O
1,Mine,O
1,Workers,O
1,of,O
1,America,O
1,.,O
2,It,O
2,began,O
2,December,O
2,6,O
2,",",O
2,1977,O
2,",",O
2,and,O
2,ended,O
2,on,O
2,March,O
2,19,O
2,",",O
2,1978,O
2,.,O
3,It,O
3,is,O
3,generally,O
3,considered,O
3,a,O
3,successful,O
3,union,O
3,strike,O
3,",",O
3,although,O
3,the,O
3,contract,O
3,was,O
3,not,O
3,beneficial,O
3,to,O
3,union,O
3,members,O
3,.,O
4,Since,O
4,the,O
4,1940s,O
4,",",O
4,the,O
4,United,O
4,Mine,O
4,Workers,O
4,of,O
4,America,O
4,(,O
4,UMWA,O
4,),O
4,had,O
4,negotiated,O
4,a,O
4,nationwide,O
4,National,O
4,Coal,O
4,Wage,O
4,Agreement,O
4,with,O
4,the,O
4,Bituminous,O
4,Coal,O
4,Operators,O
4,Association,O
4,(,O
4,BCOA,O
4,),O
4,",",O
4,a,O
4,group,O
4,of,O
4,large,O
4,coal,O
4,mine,O
4,operators,O
4,.,O
5,The,O
5,three-year,O
5,agreements,O
5,covered,O
5,national,O
5,bargaining,O
5,issues,O
5,such,O
5,as,O
5,wages,O
5,",",O
5,health,O
5,and,O
5,pension,O
5,benefits,O
5,",",O
5,workplace,O
5,health,O
5,and,O
5,safety,O
5,",",O
5,and,O
5,work,O
5,rules,O
5,.,O
6,Local,O
6,agreements,O
6,",",O
6,far,O
6,more,O
6,limited,O
6,in,O
6,scope,O
6,",",O
6,were,O
6,negotiated,O
6,by,O
6,each,O
6,individual,O
6,local,O
6,affiliate,O
6,of,O
6,UMWA,O
6,.,O
